,energy,pulsewidth,spotsize,targetthickness
116,270.0,1500.0,60.0,5000.0
1073,1.442135,30.0,3.3,256.0
1085,1.554905,279.0,3.3,227.0
679,2.30435,30.0,3.3,289.0
1089,1.57534,279.0,3.3,247.0
810,2.336065,279.0,3.3,891.0
245,3.5559547917497993,30.0,4.1,2000.0
397,2.390805,279.0,3.3,619.0
794,2.38246,463.0,3.3,805.0
543,2.30478,30.0,3.3,599.0
270,2.398965,30.0,3.3,810.0
323,2.44082,30.0,3.3,807.0
929,1.53993,187.0,3.3,659.0
755,2.37335,279.0,3.3,833.0
220,30.0,355.03659629445633,4.1,2000.0
949,1.512835,279.0,3.3,648.0
644,2.33833,30.0,3.3,549.0
1060,1.528665,30.0,3.3,274.0
298,210.0,900.0,8.29,400.0
375,2.429065,187.0,3.3,582.0
1057,1.496405,30.0,3.3,292.0
119,44.89795918367347,620.0,4.7,15000.0
147,2.43567,30.0,3.3,578.0
52,142.56,500.0,4.2593125815,1000.0
614,2.317225,30.0,3.3,355.0
131,85.0,569.4444444444445,12.0,15000.0
1038,1.539935,279.0,3.3,670.0
1049,1.5353,30.0,3.3,274.0
409,2.4049,463.0,3.3,389.0
127,9.2,24.0,2.8,3000.0
420,2.430715,463.0,3.3,580.0
49,1.61,30.0,5.6,120.0
166,2.43935,30.0,3.3,590.0
235,30.0,31.36292034337635,4.1,2000.0
661,2.33069,30.0,3.3,555.0
363,2.362175,80.0,3.3,602.0
10,144.09900000000002,500.0,2.520271545,1000.0
761,2.36078,279.0,3.3,843.0
418,2.451595,463.0,3.3,547.0
1029,1.56875,279.0,3.3,570.0
308,0.7,45.0,6.0,12.0
244,2.410565,30.0,3.3,761.0
219,30.0,348.3805921899817,4.1,2000.0
364,2.422555,80.0,3.3,547.0
542,2.373705,30.0,3.3,646.0
142,2.414565,30.0,3.3,581.0
999,1.581905,279.0,3.3,547.0
14,126.92699999999999,500.0,3.051013185,800.0
91,92.745,1600.0,3.975450066,4000.0
241,1.2372337646345424,30.0,4.1,2000.0
724,2.3027,30.0,3.3,1056.0
82,0.38,40.0,17.961931292676628,25.0
92,113.805,6200.0,4.4061249771,4000.0
187,2.413725,30.0,3.3,524.0
35,157.95000000000002,500.0,2.589817521,1500.0
619,2.34728,30.0,3.3,99.0
40,0.3,460.0,2.3,1500.0
564,2.364915,30.0,3.3,345.0
603,2.299145,30.0,3.3,267.0
808,2.33724,279.0,3.3,980.0
304,2.416665,30.0,3.3,744.0
334,0.236,65.0,8.0,21000.0
553,2.355135,30.0,3.3,612.0
606,2.328985,30.0,3.3,282.0
462,2.39588,30.0,3.3,627.0
41,0.3,460.0,2.3,1500.0
457,2.369045,30.0,3.3,640.0
862,2.38657,279.0,3.3,752.0
32,93.15,500.0,2.954447823,300.0
611,2.294525,30.0,3.3,267.0
791,2.341545,463.0,3.3,753.0
1039,1.558155,279.0,3.3,632.0
987,1.551565,279.0,3.3,534.0
666,2.325365,30.0,3.3,303.0
445,2.32232,30.0,3.3,557.0
608,2.31667,30.0,3.3,344.0
130,753.0,11500.0,29.8,50000.0
519,2.377025,30.0,3.3,545.0
598,2.275455,30.0,3.3,125.0
559,2.32981,30.0,3.3,430.0
65,65.367,950.0,2.675684636,4000.0
110,6.326530612244897,620.0,4.7,15000.0
593,2.300455,30.0,3.3,288.0
858,2.327755,279.0,3.3,788.0
291,1.8,100.0,5.6,30000.0
991,1.5475,279.0,3.3,530.0
56,155.52,500.0,4.16788712475,300.0
451,2.345085,30.0,3.3,563.0
863,2.379745,279.0,3.3,741.0
823,2.322575,279.0,3.3,951.0
294,2.46848,30.0,3.3,751.0
309,0.7,45.0,6.0,4.5
236,2.342765,30.0,3.3,706.0
578,2.265035,30.0,3.3,270.0
7,9.803466042154566,500.0,3.0,300.0
30,0.3,202.0,2.3,15000.0
