,cutoffenergy
116,16.0
1073,3.8
1085,4.5
679,4.5
1089,4.2
810,6.2
245,10.656
397,6.8
794,4.5
543,8.0
270,6.1
323,6.8
929,5.5
755,4.8
220,25.41
949,4.3
644,4.8
1060,4.8
298,88.0
375,6.8
1057,4.5
119,24.0
147,6.7
52,75.35
614,5.5
131,49.0
1038,4.5
1049,4.8
409,3.8
127,19.4
420,4.8
49,6.8
166,6.8
235,25.246
661,4.4
363,4.8
10,54.2
761,5.5
418,4.8
1029,4.0
308,8.0
244,4.3
219,27.049
364,5.5
542,8.0
142,6.0
999,4.5
14,69.9
91,33.7
241,8.1967
724,6.8
82,2.7
92,18.0
187,6.2
35,55.0
619,4.5
40,1.95
564,4.0
603,4.8
808,5.5
304,4.0
334,2.5
553,6.2
606,4.0
462,6.2
41,1.79
457,6.2
862,3.6
32,55.0
611,3.8
791,4.8
1039,4.0
987,4.0
666,5.5
445,4.8
608,3.8
130,36.0
519,4.0
598,4.5
559,4.2
65,30.2
110,5.7
593,6.0
858,4.5
291,1.4
991,4.3
56,54.5
451,3.8
863,4.8
823,5.5
294,8.0
309,11.0
236,7.8
578,4.0
7,15.0
30,3.0
250,6.3
9,59.6
148,9.2
44,64.5
873,5.5
438,5.5
303,3.2
321,6.8
30,15.0
93,5.0
263,6.2
935,4.3
1,29.8
74,12.7
527,4.5
705,4.8
157,5.5
718,6.8
698,4.4
168,6.8
0,46.0
908,4.5
612,4.0
86,10.9
860,4.0
290,6.8
737,5.0
764,3.8
895,4.4
467,5.5
106,40.0
496,5.5
201,20.164
938,5.5
217,6.8
235,6.8
702,4.8
336,3.5
933,4.0
861,4.5
29,67.3
114,10.9
716,4.8
633,5.5
351,7.0
1037,4.5
191,5.5
856,6.2
285,5.4
870,4.8
368,6.8
922,4.0
247,5.5
590,4.0
821,5.5
526,4.8
54,49.25
21,80.0
924,4.0
310,7.5
131,61.0
77,8.2
386,7.0
207,22.623
725,6.8
109,36.0
174,7.541
114,18.0
486,6.2
1052,4.5
89,41.5
87,14.8
1066,4.0
162,6.2
106,5.6
605,4.0
336,4.3
160,6.2
745,3.8
126,16.0
103,62.2
387,4.3
963,4.0
177,6.1
401,6.8
59,41.6
180,10.328
167,6.1
95,7.2
925,4.8
253,6.2
204,23.443
1008,4.0
876,4.5
243,4.0
220,6.8
63,18.2
1074,4.0
436,4.4
36,3.2
209,23.279
48,29.75
817,5.5
100,66.0
104,41.5
937,4.5
310,6.8
975,4.0
186,13.115
272,2.6
881,5.5
918,4.5
177,9.6721
643,4.8
785,3.8
703,4.4
866,4.8
869,6.0
1027,4.0
101,57.6
165,4.8
169,5.2459
777,5.0
259,20.656
790,5.5
25,72.0
198,4.5
988,3.8
1062,4.5
13,49.0
640,4.8
198,19.508
615,5.5
253,20.82
731,6.8
575,3.8
62,9.3
712,4.5
749,4.8
396,6.2
90,4.5
852,5.5
770,6.0
944,4.0
788,4.5
45,45.1
1053,4.4
546,8.0
664,5.5
834,4.5
161,5.4
539,5.5
681,4.4
346,4.5
819,5.4
816,4.5
203,20.656
192,6.2
995,3.8
587,5.5
849,5.5
150,6.1
989,3.8
315,6.8
147,2.9
495,4.5
389,6.2
773,5.0
916,4.8
269,2.3
194,17.049
149,6.2
248,6.2
894,3.8
154,5.4
381,4.0
62,38.9
207,6.8
623,4.8
297,83.0
64,18.2
433,3.4
84,13.2
1090,4.4
18,90.0
690,4.5
536,6.8
627,6.0
567,5.5
699,4.4
61,1.5
74,2.7
113,12.0
301,6.2
687,4.5
597,4.8
563,4.0
978,4.4
872,4.8
218,18.852
133,15.0
81,2.0
237,4.4
242,6.3934
424,6.2
393,6.2
591,5.5
551,3.8
412,6.2
921,4.0
128,28.0
193,5.5
113,30.0
355,4.3
160,2.5
740,6.8
351,28.0
79,17.6
1001,3.6
472,6.0
2,64.0
287,9.0
50,9.2
710,4.4
880,4.5
798,6.2
1058,4.0
996,3.5
194,5.0
667,4.4
273,2.1
544,4.0
461,6.2
620,6.8
155,9.0
983,4.5
607,3.8
373,6.8
136,12.9
677,4.4
888,4.8
500,4.8
196,3.4
954,4.8
369,6.2
484,6.2
744,5.5
555,6.2
1006,4.0
268,2.4
910,4.5
213,6.8
596,6.0
427,6.2
468,6.2
265,2.2
905,4.5
38,2.8
138,44.0
897,5.5
1011,4.5
150,12.0
1048,4.0
485,4.8
123,28.0
188,12.623
261,4.8
707,4.4
489,4.8
537,3.8
259,6.0
58,49.25
335,2.6
950,4.3
622,5.5
83,14.8
234,3.7
1030,4.0
161,2.8
299,5.3
257,6.0
128,10.0
213,31.311
229,22.951
499,5.5
528,3.8
585,4.0
341,4.7
655,4.4
72,1.3
27,3.0
256,23.77
970,4.8
889,4.8
708,4.4
260,4.8
812,4.6
221,24.754
981,4.5
574,3.8
307,6.2
1080,4.0
349,5.0
135,8.0
143,17.0
108,5.7
927,4.8
184,5.5
312,10.5
416,3.8
238,8.0
747,5.5
748,4.8
953,4.8
406,6.2
824,6.0
859,5.5
912,4.5
276,6.2
1014,4.3
366,4.0
78,2.0
5,40.0
715,4.4
490,4.8
550,6.2
825,4.8
19,65.0
990,3.8
318,8.9
10,54.0
1002,4.4
972,4.5
133,6.8
116,20.0
671,4.0
174,6.1
39,2.4
524,3.8
187,13.77
512,6.2
951,4.3
647,4.8
1068,4.5
258,23.77
302,6.8
733,5.5
942,4.5
641,4.8
